"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"33113_at"	"0.10577"	"1.34e-04"	"-7.448634"	"1.3525"	"-1.203838"	"CITED2"	"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2"
"40855_at"	"0.11377"	"1.53e-04"	"-7.294038"	"1.2509"	"-1.083742"	"SAMD4A"	"sterile alpha motif domain containing 4A"
"40522_at"	"0.12558"	"1.79e-04"	"-7.116613"	"1.1307"	"-2.793192"	"GLUL"	"glutamate-ammonia ligase"
"40310_at"	"0.13594"	"2.10e-04"	"-6.937303"	"1.0053"	"-1.4587505"	"TLR2"	"toll like receptor 2"
"36761_at"	"0.13594"	"2.15e-04"	"-6.911016"	"0.9866"	"-1.0324805"	"OVOL2"	"ovo like zinc finger 2"
"38013_at"	"0.1496"	"2.55e-04"	"-6.727507"	"0.8532"	"-1.0276325"	"MTUS1"	"microtubule associated tumor suppressor 1"
"36100_at"	"0.1496"	"2.61e-04"	"6.703041"	"0.8351"	"1.187698"	"VEGFA"	"vascular endothelial growth factor A"
"1052_s_at"	"0.14976"	"2.73e-04"	"-6.654259"	"0.7987"	"-1.1563525"	"CEBPD"	"CCAAT/enhancer binding protein delta"
"40091_at"	"0.16831"	"3.20e-04"	"-6.485459"	"0.6703"	"-2.0103795"	"BCL6"	"B-cell CLL/lymphoma 6"
"39102_at"	"0.1782"	"3.57e-04"	"-6.371328"	"0.5813"	"-0.937671"	"GPSM2"	"G-protein signaling modulator 2"
"33900_at"	"0.1782"	"3.75e-04"	"-6.321749"	"0.542"	"-0.955651"	"FSTL3"	"follistatin like 3"
"37310_at"	"0.1782"	"3.81e-04"	"6.303862"	"0.5277"	"2.714211"	"PLAU"	"plasminogen activator, urokinase"
"38125_at"	"0.19332"	"4.45e-04"	"-6.146998"	"0.4007"	"-1.0273335"	"SERPINE1"	"serpin family E member 1"
"33131_at"	"0.19332"	"4.54e-04"	"6.126548"	"0.3838"	"0.958194"	"SOX4"	"SRY-box 4"
"40637_at"	"0.19332"	"4.69e-04"	"6.09245"	"0.3556"	"0.898038"	"SNORD14D///SNORD14C///HSPA8"	"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8"
"36130_f_at"	"0.19332"	"4.81e-04"	"-6.066983"	"0.3345"	"-1.243372"	"MT1E"	"metallothionein 1E"
"634_at"	"0.19332"	"4.98e-04"	"-6.033295"	"0.3063"	"-1.0425085"	"PRSS8"	"protease, serine 8"
"35414_s_at"	"0.19332"	"5.05e-04"	"6.018816"	"0.2941"	"1.549021"	"JAG1"	"jagged 1"
"41839_at"	"0.20439"	"5.68e-04"	"-5.903308"	"0.196"	"-0.9587725"	"GAS1"	"growth arrest specific 1"
"672_at"	"0.20439"	"6.13e-04"	"-5.828336"	"0.1311"	"-1.021814"	"SERPINE1"	"serpin family E member 1"
"1815_g_at"	"0.20439"	"6.34e-04"	"-5.796558"	"0.1034"	"-1.2534975"	"TGFBR2"	"transforming growth factor beta receptor 2"
"35472_at"	"0.20439"	"6.36e-04"	"5.793779"	"0.101"	"0.8742835"	"KCNJ15"	"potassium voltage-gated channel subfamily J member 15"
"38254_at"	"0.20439"	"6.36e-04"	"-5.793778"	"0.101"	"-1.0158295"	"TBC1D9"	"TBC1 domain family member 9"
"609_f_at"	"0.20439"	"6.51e-04"	"-5.770553"	"0.0806"	"-0.9168985"	"MT1B"	"metallothionein 1B"
"34853_at"	"0.20439"	"6.57e-04"	"5.762572"	"0.0736"	"0.9320305"	"LOC100506718///FLRT2"	"uncharacterized LOC100506718///fibronectin leucine rich transmembrane protein 2"
"437_at"	"0.20439"	"6.64e-04"	"5.751861"	"0.0641"	"1.4771085"	"MMP3"	"matrix metallopeptidase 3"
"1179_at"	"0.20439"	"6.80e-04"	"5.728899"	"0.0438"	"0.8716215"	"SNORD14D///SNORD14C///HSPA8"	"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8"
"1715_at"	"0.20582"	"7.01e-04"	"5.699691"	"0.0178"	"0.9860395"	"TNFSF10"	"tumor necrosis factor superfamily member 10"
"40140_at"	"0.23966"	"8.52e-04"	"-5.514894"	"-0.1496"	"-0.8364825"	"RNF103"	"ring finger protein 103"
"35848_at"	"0.23966"	"8.54e-04"	"5.512706"	"-0.1516"	"0.8471495"	"ZMIZ1"	"zinc finger MIZ-type containing 1"
"31508_at"	"0.24767"	"9.02e-04"	"-5.461563"	"-0.1989"	"-1.241381"	"TXNIP"	"thioredoxin interacting protein"
"34541_at"	"0.2691"	"1.00e-03"	"-5.365027"	"-0.2895"	"-1.0645405"	"CDR2L"	"cerebellar degeneration related protein 2 like"
"41669_at"	"0.27249"	"1.04e-03"	"-5.326819"	"-0.3258"	"-1.0647295"	"ZCCHC11"	"zinc finger CCHC-type containing 11"
"33820_g_at"	"0.27249"	"1.06e-03"	"5.315404"	"-0.3367"	"0.8166085"	"SNORD14D///SNORD14C///HSPA8"	"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8"
"31622_f_at"	"0.28734"	"1.14e-03"	"-5.24878"	"-0.4006"	"-1.0631115"	"MT1F"	"metallothionein 1F"
"39838_at"	"0.3091"	"1.25e-03"	"-5.162737"	"-0.4844"	"-0.798025"	"CLASP1"	"cytoplasmic linker associated protein 1"
"31720_s_at"	"0.3091"	"1.30e-03"	"-5.131974"	"-0.5146"	"-0.879316"	"FN1"	"fibronectin 1"
"41446_f_at"	"0.3091"	"1.31e-03"	"-5.124881"	"-0.5216"	"-0.8299435"	"MT1P3///MT1M///MT1G///MT1F"	"metallothionein 1 pseudogene 3///metallothionein 1M///metallothionein 1G///metallothionein 1F"
"31791_at"	"0.3091"	"1.32e-03"	"5.114081"	"-0.5323"	"0.780864"	"TP63"	"tumor protein p63"
"1606_at"	"0.31423"	"1.37e-03"	"5.083131"	"-0.563"	"0.7754065"	"EPHA4"	"EPH receptor A4"
"39549_at"	"0.31585"	"1.40e-03"	"-5.062619"	"-0.5834"	"-0.8747615"	"NPAS2"	"neuronal PAS domain protein 2"
"37542_at"	"0.31681"	"1.45e-03"	"-5.033522"	"-0.6125"	"-1.001867"	"LHFPL2"	"lipoma HMGIC fusion partner-like 2"
"37561_at"	"0.31681"	"1.46e-03"	"5.028937"	"-0.6171"	"0.8339595"	"NFYA"	"nuclear transcription factor Y subunit alpha"
"973_at"	"0.3236"	"1.52e-03"	"-4.990446"	"-0.6559"	"-1.0473195"	"SGK1"	"serum/glucocorticoid regulated kinase 1"
"39337_at"	"0.3236"	"1.54e-03"	"-4.980482"	"-0.666"	"-0.7984215"	"H2AFZ"	"H2A histone family member Z"
"31623_f_at"	"0.33544"	"1.62e-03"	"-4.934656"	"-0.7125"	"-0.923172"	"MT1A"	"metallothionein 1A"
"32434_at"	"0.33976"	"1.67e-03"	"4.909354"	"-0.7384"	"0.747734"	"MARCKS"	"myristoylated alanine rich protein kinase C substrate"
"39776_at"	"0.34428"	"1.72e-03"	"-4.884012"	"-0.7644"	"-0.787531"	"ULK2"	"unc-51 like autophagy activating kinase 2"
"32632_g_at"	"0.35627"	"1.81e-03"	"-4.840859"	"-0.809"	"-0.728416"	"GBAP1///GBA"	"glucosylceramidase beta pseudogene 1///glucosylceramidase beta"
"311_s_at"	"0.37575"	"1.96e-03"	"-4.768985"	"-0.884"	"-0.712386"	"FN1"	"fibronectin 1"
"34585_at"	"0.37575"	"1.99e-03"	"4.759267"	"-0.8942"	"0.77302"	"DLX2"	"distal-less homeobox 2"
"38065_at"	"0.37575"	"1.99e-03"	"-4.755983"	"-0.8977"	"-0.866604"	"HMGB2"	"high mobility group box 2"
"1913_at"	"0.39484"	"2.13e-03"	"-4.701292"	"-0.9555"	"-0.741712"	"CCNG2"	"cyclin G2"
"1081_at"	"0.39763"	"2.17e-03"	"4.682985"	"-0.975"	"1.7807135"	"ODC1"	"ornithine decarboxylase 1"
"661_at"	"0.41034"	"2.28e-03"	"-4.644333"	"-1.0163"	"-0.838657"	"GAS1"	"growth arrest specific 1"
"35275_at"	"0.42578"	"2.39e-03"	"-4.601453"	"-1.0624"	"-1.7398415"	"CA12"	"carbonic anhydrase 12"
"38918_at"	"0.4272"	"2.46e-03"	"-4.577582"	"-1.0883"	"-0.7514045"	"SOX13"	"SRY-box 13"
"33815_at"	"0.4272"	"2.47e-03"	"4.575476"	"-1.0905"	"0.6793675"	"UMPS"	"uridine monophosphate synthetase"
"36925_at"	"0.44092"	"2.58e-03"	"4.537861"	"-1.1315"	"0.766804"	"HSPA2"	"heat shock protein family A (Hsp70) member 2"
"1180_g_at"	"0.44206"	"2.68e-03"	"4.507194"	"-1.165"	"0.712969"	"SNORD14D///SNORD14C///HSPA8"	"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8"
"39432_at"	"0.44206"	"2.72e-03"	"-4.496403"	"-1.1769"	"-0.7522515"	"B4GALT4"	"beta-1,4-galactosyltransferase 4"
"36079_at"	"0.44206"	"2.72e-03"	"-4.495232"	"-1.1782"	"-0.696019"	"TP53I3"	"tumor protein p53 inducible protein 3"
"37537_at"	"0.44206"	"2.73e-03"	"-4.492136"	"-1.1816"	"-0.838136"	"TRIM23"	"tripartite motif containing 23"
"859_at"	"0.44501"	"2.81e-03"	"4.469275"	"-1.2067"	"0.691493"	"CYP1B1"	"cytochrome P450 family 1 subfamily B member 1"
"1857_at"	"0.44501"	"2.85e-03"	"4.455859"	"-1.2216"	"0.777947"	"SMAD7"	"SMAD family member 7"
"615_s_at"	"0.44501"	"2.87e-03"	"4.450799"	"-1.2272"	"1.577527"	"PTHLH"	"parathyroid hormone like hormone"
"31888_s_at"	"0.44501"	"2.89e-03"	"4.445507"	"-1.233"	"1.254386"	"PHLDA2"	"pleckstrin homology like domain family A member 2"
"36957_at"	"0.46538"	"3.06e-03"	"-4.398958"	"-1.2848"	"-0.846673"	"ZMYND8"	"zinc finger MYND-type containing 8"
"34265_at"	"0.46639"	"3.16e-03"	"4.373127"	"-1.3137"	"1.081501"	"SCG5"	"secretogranin V"
"39594_f_at"	"0.46639"	"3.17e-03"	"-4.370931"	"-1.3162"	"-0.831892"	"MT1H"	"metallothionein 1H"
"39932_at"	"0.46639"	"3.18e-03"	"4.366711"	"-1.3209"	"0.931761"	"DUSP7"	"dual specificity phosphatase 7"
"430_at"	"0.46639"	"3.21e-03"	"4.358862"	"-1.3297"	"0.7060195"	"PNP"	"purine nucleoside phosphorylase"
"36203_at"	"0.46933"	"3.27e-03"	"4.344499"	"-1.3459"	"1.8131245"	"ODC1"	"ornithine decarboxylase 1"
"32084_at"	"0.49733"	"3.52e-03"	"-4.285367"	"-1.4128"	"-0.727666"	"SLC22A5"	"solute carrier family 22 member 5"
"33572_at"	"0.49733"	"3.55e-03"	"-4.279557"	"-1.4194"	"-0.70743"	"ZNF165"	"zinc finger protein 165"
"898_s_at"	"0.50552"	"3.64e-03"	"-4.257551"	"-1.4445"	"-0.735357"	"EFNA3"	"ephrin A3"
"1006_at"	"0.50906"	"3.71e-03"	"4.243195"	"-1.4609"	"0.996527"	"MMP10"	"matrix metallopeptidase 10"
"41193_at"	"0.52522"	"3.87e-03"	"4.209568"	"-1.4995"	"2.9088795"	"DUSP6"	"dual specificity phosphatase 6"
"40061_at"	"0.5386"	"4.02e-03"	"-4.179635"	"-1.534"	"-0.741568"	"PLAGL2"	"PLAG1 like zinc finger 2"
"41043_at"	"0.5386"	"4.05e-03"	"4.172615"	"-1.5422"	"0.6305435"	"SOX15"	"SRY-box 15"
"276_at"	"0.56471"	"4.29e-03"	"4.126827"	"-1.5954"	"0.695286"	"DNAJA1"	"DnaJ heat shock protein family (Hsp40) member A1"
"35050_at"	"0.57112"	"4.39e-03"	"-4.109744"	"-1.6153"	"-0.7000735"	"PHF20"	"PHD finger protein 20"
"38489_at"	"0.58031"	"4.52e-03"	"4.086036"	"-1.6431"	"0.929519"	"FGFBP1"	"fibroblast growth factor binding protein 1"
"39698_at"	"0.58031"	"4.57e-03"	"-4.077389"	"-1.6532"	"-0.9074005"	"HOPX"	"HOP homeobox"
"40419_at"	"0.58031"	"4.65e-03"	"-4.064343"	"-1.6685"	"-0.790361"	"STOM"	"stomatin"
"34335_at"	"0.58031"	"4.69e-03"	"4.058046"	"-1.676"	"0.70463"	"EFNB2"	"ephrin B2"
"40712_at"	"0.58031"	"4.71e-03"	"4.053663"	"-1.6811"	"0.6584245"	"ADAM8"	"ADAM metallopeptidase domain 8"
"40268_at"	"0.58031"	"4.75e-03"	"-4.047107"	"-1.6888"	"-0.9467365"	"FOSL2"	"FOS like 2, AP-1 transcription factor subunit"
"36933_at"	"0.58031"	"4.78e-03"	"-4.0425"	"-1.6943"	"-0.801232"	"NDRG1"	"N-myc downstream regulated 1"
"1165_at"	"0.58077"	"4.83e-03"	"-4.034399"	"-1.7039"	"-0.7834465"	"IL18"	"interleukin 18"
"36618_g_at"	"0.58318"	"4.90e-03"	"4.023768"	"-1.7164"	"0.863446"	"ID1"	"inhibitor of DNA binding 1, HLH protein"
"35692_at"	"0.5987"	"5.07e-03"	"3.995992"	"-1.7494"	"0.8494865"	"TMEM158"	"transmembrane protein 158 (gene/pseudogene)"
"41770_at"	"0.60468"	"5.17e-03"	"-3.981033"	"-1.7672"	"-1.0979205"	"MAOA"	"monoamine oxidase A"
"33799_at"	"0.60641"	"5.28e-03"	"-3.965789"	"-1.7854"	"-0.6397055"	"SIAH2"	"siah E3 ubiquitin protein ligase 2"
"40071_at"	"0.60641"	"5.28e-03"	"3.964588"	"-1.7868"	"0.5914235"	"CYP1B1"	"cytochrome P450 family 1 subfamily B member 1"
"33325_at"	"0.60825"	"5.35e-03"	"-3.955233"	"-1.798"	"-0.889956"	"RPS6KA2"	"ribosomal protein S6 kinase A2"
"980_at"	"0.6263"	"5.56e-03"	"-3.92545"	"-1.8337"	"-0.58803"	"NPC1"	"NPC intracellular cholesterol transporter 1"
"40631_at"	"0.6263"	"5.63e-03"	"-3.916048"	"-1.845"	"-0.6897105"	"TOB1"	"transducer of ERBB2, 1"
"34281_at"	"0.6263"	"5.66e-03"	"3.912055"	"-1.8498"	"0.7129745"	"VSNL1"	"visinin like 1"
"38317_at"	"0.64065"	"5.84e-03"	"-3.887911"	"-1.8789"	"-1.0453595"	"TCEAL1"	"transcription elongation factor A like 1"
"39822_s_at"	"0.64263"	"5.90e-03"	"-3.8789"	"-1.8898"	"-0.698348"	"GADD45B"	"growth arrest and DNA damage inducible beta"
"1237_at"	"0.64748"	"6.00e-03"	"3.866548"	"-1.9048"	"2.7535505"	"IER3"	"immediate early response 3"
"219_i_at"	"0.64955"	"6.09e-03"	"-3.855052"	"-1.9187"	"-0.603652"	"MAP2"	"microtubule associated protein 2"
"38439_at"	"0.64955"	"6.17e-03"	"-3.844947"	"-1.931"	"-0.622678"	"NFE2L1"	"nuclear factor, erythroid 2 like 1"
"521_at"	"0.64955"	"6.17e-03"	"-3.844741"	"-1.9312"	"-0.872029"	"MT4"	"metallothionein 4"
"32521_at"	"0.65045"	"6.23e-03"	"-3.837337"	"-1.9403"	"-1.1234485"	"SFRP1"	"secreted frizzled related protein 1"
"37388_at"	"0.6612"	"6.39e-03"	"-3.818552"	"-1.9631"	"-0.60668"	"TFPI2"	"tissue factor pathway inhibitor 2"
"1953_at"	"0.66468"	"6.50e-03"	"3.805454"	"-1.9791"	"0.759586"	"VEGFA"	"vascular endothelial growth factor A"
"37468_at"	"0.66468"	"6.53e-03"	"-3.801816"	"-1.9836"	"-0.7535365"	"JAK2"	"Janus kinase 2"
"40237_at"	"0.66468"	"6.58e-03"	"3.796066"	"-1.9906"	"0.734237"	"PHLDA2"	"pleckstrin homology like domain family A member 2"
"32154_at"	"0.66913"	"6.68e-03"	"3.784945"	"-2.0042"	"0.561878"	"TFAP2A"	"transcription factor AP-2 alpha"
"31881_at"	"0.67239"	"6.76e-03"	"-3.775259"	"-2.0161"	"-0.842344"	"SGMS1"	"sphingomyelin synthase 1"
"1717_s_at"	"0.67377"	"6.87e-03"	"-3.763962"	"-2.03"	"-0.6002135"	"BIRC3"	"baculoviral IAP repeat containing 3"
"36224_g_at"	"0.67377"	"6.94e-03"	"3.756257"	"-2.0395"	"0.639919"	"SFPQ"	"splicing factor proline and glutamine rich"
"37909_at"	"0.67377"	"6.95e-03"	"-3.754509"	"-2.0416"	"-0.822982"	"LAMA3"	"laminin subunit alpha 3"
"35303_at"	"0.67377"	"6.99e-03"	"3.750227"	"-2.0469"	"1.2589285"	"INSIG1"	"insulin induced gene 1"
"37989_at"	"0.67878"	"7.10e-03"	"3.73888"	"-2.0609"	"1.9874995"	"PTHLH"	"parathyroid hormone like hormone"
"1788_s_at"	"0.68072"	"7.18e-03"	"3.730607"	"-2.0711"	"1.375899"	"DUSP4"	"dual specificity phosphatase 4"
"195_s_at"	"0.68072"	"7.25e-03"	"3.723026"	"-2.0805"	"0.584841"	"CASP4"	"caspase 4"
"38822_at"	"0.68072"	"7.33e-03"	"3.714345"	"-2.0912"	"0.596976"	"STK17A"	"serine/threonine kinase 17a"
"2031_s_at"	"0.68072"	"7.45e-03"	"3.702052"	"-2.1064"	"0.5783145"	"CDKN1A"	"cyclin dependent kinase inhibitor 1A"
"39727_at"	"0.68072"	"7.47e-03"	"-3.700737"	"-2.1081"	"-0.666865"	"DUSP11"	"dual specificity phosphatase 11"
"41534_at"	"0.68072"	"7.50e-03"	"3.697397"	"-2.1122"	"0.638594"	"PCDH7"	"protocadherin 7"
"40507_at"	"0.68072"	"7.50e-03"	"3.697002"	"-2.1127"	"0.6037645"	"SLC2A1"	"solute carrier family 2 member 1"
"37373_at"	"0.68072"	"7.60e-03"	"-3.687367"	"-2.1247"	"-0.762674"	"UGP2"	"UDP-glucose pyrophosphorylase 2"
"34735_at"	"0.68072"	"7.69e-03"	"-3.678803"	"-2.1353"	"-0.7022265"	"ROCK1"	"Rho associated coiled-coil containing protein kinase 1"
"38630_at"	"0.68072"	"7.72e-03"	"-3.675104"	"-2.1399"	"-0.758117"	"CERS6"	"ceramide synthase 6"
"1844_s_at"	"0.68072"	"7.75e-03"	"-3.672386"	"-2.1433"	"-0.5713255"	"MAP2K1"	"mitogen-activated protein kinase kinase 1"
"1138_at"	"0.68072"	"7.76e-03"	"3.671277"	"-2.1447"	"1.4639995"	"SLC20A1"	"solute carrier family 20 member 1"
"36101_s_at"	"0.68856"	"7.91e-03"	"3.657512"	"-2.1618"	"0.5600595"	"VEGFA"	"vascular endothelial growth factor A"
"34882_at"	"0.71007"	"8.23e-03"	"3.627987"	"-2.1987"	"0.6214525"	"MIR1292///SNORD110///SNORD86///SNORD57///NOP56"	"microRNA 1292///small nucleolar RNA, C/D box 110///small nucleolar RNA, C/D box 86///small nucleolar RNA, C/D box 57///NOP56 ribonucleoprotein"
"32523_at"	"0.71007"	"8.27e-03"	"-3.624297"	"-2.2034"	"-0.6310385"	"CLTB"	"clathrin light chain B"
"159_at"	"0.71076"	"8.33e-03"	"3.618526"	"-2.2106"	"0.7196635"	"VEGFC"	"vascular endothelial growth factor C"
"33029_at"	"0.72436"	"8.58e-03"	"-3.596842"	"-2.2378"	"-0.5366555"	"ALOX12B"	"arachidonate 12-lipoxygenase, 12R type"
"37761_at"	"0.72436"	"8.61e-03"	"-3.59443"	"-2.2408"	"-0.7452635"	"BAIAP2"	"BAI1 associated protein 2"
"32482_at"	"0.73666"	"8.81e-03"	"-3.576731"	"-2.2631"	"-0.568486"	"ATP12A"	"ATPase H+/K+ transporting non-gastric alpha2 subunit"
"35959_at"	"0.73666"	"8.87e-03"	"3.572096"	"-2.269"	"0.832414"	"ZNF365"	"zinc finger protein 365"
"33101_g_at"	"0.7394"	"8.96e-03"	"-3.564478"	"-2.2786"	"-0.60126"	"FETUB"	"fetuin B"
"40171_at"	"0.74345"	"9.07e-03"	"-3.55561"	"-2.2898"	"-0.662726"	"FRAT2"	"frequently rearranged in advanced T-cell lymphomas 2"
"38673_s_at"	"0.77625"	"9.58e-03"	"-3.515357"	"-2.3408"	"-1.3046735"	"CDKN1C"	"cyclin dependent kinase inhibitor 1C"
"35975_at"	"0.77625"	"9.59e-03"	"-3.514202"	"-2.3423"	"-0.6141005"	"MLLT3"	"MLLT3, super elongation complex subunit"
"1104_s_at"	"0.78363"	"9.83e-03"	"3.496016"	"-2.3654"	"0.8428045"	"HSPA1L///HSPA1B///HSPA1A"	"heat shock protein family A (Hsp70) member 1 like///heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A"
"40626_at"	"0.78363"	"9.86e-03"	"-3.49396"	"-2.368"	"-0.5326945"	""	""
"34480_at"	"0.78363"	"9.87e-03"	"-3.493214"	"-2.369"	"-0.5282405"	"CDH16"	"cadherin 16"
"40500_at"	"0.79406"	"1.01e-02"	"-3.478892"	"-2.3872"	"-0.557196"	"NDRG4"	"NDRG family member 4"
"37162_at"	"0.80006"	"1.02e-02"	"-3.4688"	"-2.4001"	"-1.0212755"	"CCDC6"	"coiled-coil domain containing 6"
"35464_at"	"0.80172"	"1.06e-02"	"3.442504"	"-2.4338"	"0.596489"	"IL11"	"interleukin 11"
"35684_at"	"0.80172"	"1.06e-02"	"-3.4409"	"-2.4358"	"-0.6935415"	"MET"	"MET proto-oncogene, receptor tyrosine kinase"
"404_at"	"0.80172"	"1.06e-02"	"3.438964"	"-2.4383"	"0.743885"	"IL4R"	"interleukin 4 receptor"
"35763_at"	"0.80172"	"1.06e-02"	"-3.438885"	"-2.4384"	"-0.6966245"	"NBEAL2"	"neurobeachin like 2"
"41481_at"	"0.80172"	"1.07e-02"	"3.436565"	"-2.4414"	"0.7320925"	"ITGA2"	"integrin subunit alpha 2"
"33809_at"	"0.80172"	"1.07e-02"	"-3.435656"	"-2.4426"	"-0.565434"	"GNAI1"	"G protein subunit alpha i1"
"34280_at"	"0.80172"	"1.07e-02"	"3.435653"	"-2.4426"	"0.7404725"	"MIR452///MIR224///GABRE"	"microRNA 452///microRNA 224///gamma-aminobutyric acid type A receptor epsilon subunit"
"41296_s_at"	"0.80172"	"1.07e-02"	"3.431781"	"-2.4475"	"0.624638"	""	""
"1005_at"	"0.80307"	"1.08e-02"	"-3.426242"	"-2.4546"	"-1.4811545"	"DUSP1"	"dual specificity phosphatase 1"
"41747_s_at"	"0.80641"	"1.09e-02"	"3.418935"	"-2.464"	"0.549523"	"MEF2A"	"myocyte enhancer factor 2A"
"33759_at"	"0.83456"	"1.14e-02"	"3.389691"	"-2.5017"	"1.1640825"	"BPGM"	"bisphosphoglycerate mutase"
"32817_at"	"0.84132"	"1.15e-02"	"-3.379611"	"-2.5147"	"-0.614917"	"SEC14L2"	"SEC14 like lipid binding 2"
"33371_s_at"	"0.84848"	"1.17e-02"	"3.369264"	"-2.5281"	"0.6306715"	"RAB31"	"RAB31, member RAS oncogene family"
"668_s_at"	"0.85301"	"1.18e-02"	"-3.361244"	"-2.5384"	"-0.595584"	"MMP7"	"matrix metallopeptidase 7"
"34740_at"	"0.86028"	"1.21e-02"	"-3.3441"	"-2.5606"	"-1.183507"	"FOXO3"	"forkhead box O3"
"41242_at"	"0.86028"	"1.22e-02"	"3.341113"	"-2.5645"	"0.813881"	"UAP1"	"UDP-N-acetylglucosamine pyrophosphorylase 1"
"38823_s_at"	"0.86028"	"1.22e-02"	"3.339607"	"-2.5665"	"0.69319"	"STK17A"	"serine/threonine kinase 17a"
"36858_at"	"0.86028"	"1.22e-02"	"3.338723"	"-2.5676"	"0.635902"	"RRS1"	"ribosome biogenesis regulator homolog"
"37047_at"	"0.86853"	"1.24e-02"	"-3.325951"	"-2.5842"	"-0.4974635"	"NPC1"	"NPC intracellular cholesterol transporter 1"
"1038_s_at"	"0.86853"	"1.25e-02"	"-3.323783"	"-2.587"	"-0.500656"	"IFNGR1"	"interferon gamma receptor 1"
"40621_at"	"0.87436"	"1.26e-02"	"-3.312957"	"-2.6011"	"-0.517144"	"PAWR"	"pro-apoptotic WT1 regulator"
"33146_at"	"0.87436"	"1.27e-02"	"-3.310983"	"-2.6036"	"-0.587306"	"MCL1"	"BCL2 family apoptosis regulator"
"1812_s_at"	"0.87436"	"1.27e-02"	"-3.307089"	"-2.6087"	"-0.53445"	"MET"	"MET proto-oncogene, receptor tyrosine kinase"
"31754_at"	"0.89118"	"1.31e-02"	"-3.288375"	"-2.6331"	"-0.7039125"	"ABCA12"	"ATP binding cassette subfamily A member 12"
"35177_at"	"0.89118"	"1.31e-02"	"-3.284837"	"-2.6377"	"-0.4959635"	"DDHD2"	"DDHD domain containing 2"
"1461_at"	"0.89118"	"1.33e-02"	"-3.278128"	"-2.6465"	"-1.011942"	"NFKBIA"	"NFKB inhibitor alpha"
"39759_at"	"0.89118"	"1.33e-02"	"-3.277592"	"-2.6472"	"-0.5337745"	"QKI"	"QKI, KH domain containing RNA binding"
"360_at"	"0.89118"	"1.34e-02"	"-3.270737"	"-2.6561"	"-0.921327"	"ITPKC"	"inositol-trisphosphate 3-kinase C"
"35879_at"	"0.89118"	"1.36e-02"	"-3.262018"	"-2.6675"	"-0.720455"	"GAL"	"galanin and GMAP prepropeptide"
"277_at"	"0.89118"	"1.37e-02"	"-3.256552"	"-2.6747"	"-0.611572"	"MCL1"	"BCL2 family apoptosis regulator"
